Time,Count,Current,Light
0.1,133.0,364.0,524.0
0.2,175.0,726.0,524.0
0.3,231.0,758.0,526.0
0.4,219.0,761.0,526.0
0.5,185.0,761.0,526.0
0.6,195.0,761.0,526.0
0.7,203.0,764.0,527.0
0.8,197.0,764.0,527.0
0.9,194.0,761.0,526.0
1.0,193.0,761.0,526.0
1.1,198.0,761.0,526.0
1.2,198.0,764.0,526.0
1.3,178.0,764.0,526.0
1.4,219.0,768.0,527.0
1.5,203.0,764.0,527.0
1.6,206.0,764.0,526.0
1.7,198.0,761.0,527.0
1.8,234.0,764.0,527.0
1.9,186.0,764.0,526.0
2.0,201.0,764.0,527.0
2.1,207.0,764.0,526.0
2.2,181.0,764.0,526.0
2.3,209.0,768.0,527.0
2.4,199.0,768.0,526.0
2.5,210.0,764.0,527.0
2.6,224.0,768.0,527.0
2.7,205.0,768.0,526.0
2.8,212.0,768.0,526.0
2.9,210.0,768.0,527.0
3.0,197.0,768.0,527.0
